d_electrode[mm], C0[F]
0.74,-7.24050E-013
0.741,-7.23730E-013
0.742,-7.23410E-013
0.743,-7.23090E-013
0.744,-7.22760E-013
0.745,-7.22440E-013
0.746,-7.22120E-013
0.747,-7.21800E-013
0.748,-7.21480E-013
0.749,-7.21160E-013
0.75,-7.20850E-013
0.751,-7.20520E-013
0.752,-7.20200E-013
0.753,-7.19850E-013
0.754,-7.19530E-013
0.755,-7.19220E-013
0.756,-7.18900E-013
0.757,-7.18590E-013
0.758,-7.18270E-013
0.759,-7.17960E-013
0.76,-7.17650E-013
0.761,-7.17340E-013
0.762,-7.17020E-013
0.763,-7.16710E-013
0.764,-7.16390E-013
0.765,-7.16080E-013
0.766,-7.15760E-013
0.767,-7.15450E-013
0.768,-7.15140E-013
0.769,-7.14830E-013
0.77,-7.14520E-013
0.771,-7.14210E-013
0.772,-7.13890E-013
0.773,-7.13590E-013
0.774,-7.13280E-013
0.775,-7.12970E-013
0.776,-7.12670E-013
0.777,-7.12370E-013
0.778,-7.12060E-013
0.779,-7.11730E-013
0.78,-7.11420E-013
0.781,-7.11120E-013
0.782,-7.10810E-013
0.783,-7.10510E-013
0.784,-7.10200E-013
0.785,-7.09900E-013
0.786,-7.09590E-013
0.787,-7.09290E-013
0.788,-7.08990E-013
0.789,-7.08680E-013
0.79,-7.08380E-013
0.791,-7.08080E-013
0.792,-7.07780E-013
0.793,-7.07480E-013
0.794,-7.07180E-013
0.795,-7.06900E-013
0.796,-7.06600E-013
0.797,-7.06300E-013
0.798,-7.06000E-013
0.799,-7.05700E-013
0.8,-7.05400E-013
0.801,-7.05100E-013
0.802,-7.04800E-013
0.803,-7.04500E-013
0.804,-7.04210E-013
0.805,-7.03900E-013
0.806,-7.03610E-013
0.807,-7.03310E-013
0.808,-7.03020E-013
0.809,-7.02720E-013
0.81,-7.02440E-013
0.811,-7.02150E-013
0.812,-7.01860E-013
0.813,-7.01560E-013
0.814,-7.01270E-013
0.815,-7.00960E-013
0.816,-7.00660E-013
0.817,-7.00370E-013
0.818,-7.00080E-013
0.819,-6.99790E-013
0.82,-6.99490E-013
0.821,-6.99200E-013
0.822,-6.98910E-013
0.823,-6.98620E-013
0.824,-6.98330E-013
0.825,-6.98050E-013
0.826,-6.97760E-013
0.827,-6.97470E-013
0.828,-6.97170E-013
0.829,-6.96880E-013
0.83,-6.96590E-013
0.831,-6.96310E-013
0.832,-6.96020E-013
0.833,-6.95730E-013
0.834,-6.95450E-013
0.835,-6.95160E-013
0.836,-6.94880E-013
0.837,-6.94590E-013
0.838,-6.94310E-013
0.839,-6.94030E-013
0.84,-6.93740E-013
0.841,-6.93460E-013
0.842,-6.93190E-013
0.843,-6.92910E-013
0.844,-6.92630E-013
0.845,-6.92340E-013
0.846,-6.92060E-013
0.847,-6.91780E-013
0.848,-6.91500E-013
0.849,-6.91220E-013
0.85,-6.90940E-013
0.851,-6.90660E-013
0.852,-6.90380E-013
0.853,-6.90100E-013
0.854,-6.89820E-013
0.855,-6.89540E-013
0.856,-6.89270E-013
0.857,-6.88990E-013
0.858,-6.88710E-013
0.859,-6.88430E-013
0.86,-6.88160E-013
0.861,-6.87880E-013
0.862,-6.87610E-013
0.863,-6.87330E-013
0.864,-6.87050E-013
0.865,-6.86780E-013
0.866,-6.86500E-013
0.867,-6.86230E-013
0.868,-6.85960E-013
0.869,-6.85680E-013
0.87,-6.85410E-013
0.871,-6.85130E-013
0.872,-6.84860E-013
0.873,-6.84590E-013
0.874,-6.84320E-013
0.875,-6.84040E-013
0.876,-6.83760E-013
0.877,-6.83490E-013
0.878,-6.83210E-013
0.879,-6.82940E-013
0.88,-6.82670E-013
0.881,-6.82400E-013
0.882,-6.82130E-013
0.883,-6.81870E-013
0.884,-6.81600E-013
0.885,-6.81330E-013
0.886,-6.81060E-013
0.887,-6.80790E-013
0.888,-6.80520E-013
0.889,-6.80260E-013
0.89,-6.79990E-013
0.891,-6.79720E-013
0.892,-6.79450E-013
0.893,-6.79190E-013
0.894,-6.78920E-013
0.895,-6.78660E-013
0.896,-6.78390E-013
0.897,-6.78130E-013
0.898,-6.77860E-013
0.899,-6.77600E-013
0.9,-6.77330E-013
0.901,-6.77070E-013
0.902,-6.76810E-013
0.903,-6.76540E-013
0.904,-6.76280E-013
0.905,-6.76020E-013
0.906,-6.75760E-013
0.907,-6.75490E-013
0.908,-6.75230E-013
0.909,-6.74970E-013
0.91,-6.74710E-013
0.911,-6.74450E-013
0.912,-6.74190E-013
0.913,-6.73930E-013
0.914,-6.73670E-013
0.915,-6.73420E-013
0.916,-6.73160E-013
0.917,-6.72900E-013
0.918,-6.72640E-013
0.919,-6.72380E-013
0.92,-6.72120E-013
0.921,-6.71860E-013
0.922,-6.71600E-013
0.923,-6.71350E-013
0.924,-6.71090E-013
0.925,-6.70830E-013
0.926,-6.70570E-013
0.927,-6.70320E-013
0.928,-6.70060E-013
0.929,-6.69810E-013
0.93,-6.69550E-013
0.931,-6.69300E-013
0.932,-6.69040E-013
0.933,-6.68790E-013
0.934,-6.68530E-013
0.935,-6.68280E-013
0.936,-6.68030E-013
0.937,-6.67770E-013
0.938,-6.67520E-013
0.939,-6.67270E-013
0.94,-6.67020E-013
0.941,-6.66760E-013
0.942,-6.66510E-013
0.943,-6.66260E-013
0.944,-6.66010E-013
0.945,-6.65760E-013
0.946,-6.65510E-013
0.947,-6.65260E-013
0.948,-6.65010E-013
0.949,-6.64760E-013
0.95,-6.64510E-013
0.951,-6.64260E-013
0.952,-6.64010E-013
0.953,-6.63760E-013
0.954,-6.63510E-013
0.955,-6.63260E-013
0.956,-6.63010E-013
0.957,-6.62770E-013
0.958,-6.62520E-013
0.959,-6.62270E-013
0.96,-6.62020E-013
0.961,-6.61780E-013
0.962,-6.61530E-013
0.963,-6.61280E-013
0.964,-6.61040E-013
0.965,-6.60790E-013
0.966,-6.60550E-013
0.967,-6.60300E-013
0.968,-6.60060E-013
0.969,-6.59810E-013
0.97,-6.59570E-013
0.971,-6.59320E-013
0.972,-6.59080E-013
0.973,-6.58840E-013
0.974,-6.58590E-013
0.975,-6.58350E-013
0.976,-6.58110E-013
0.977,-6.57860E-013
0.978,-6.57620E-013
0.979,-6.57380E-013
0.98,-6.57140E-013
0.981,-6.56900E-013
0.982,-6.56650E-013
0.983,-6.56410E-013
0.984,-6.56170E-013
0.985,-6.55930E-013
0.986,-6.55690E-013
0.987,-6.55450E-013
0.988,-6.55220E-013
0.989,-6.54980E-013
0.99,-6.54740E-013
0.991,-6.54500E-013
0.992,-6.54260E-013
0.993,-6.54020E-013
0.994,-6.53780E-013
0.995,-6.53550E-013
0.996,-6.53310E-013
0.997,-6.53070E-013
0.998,-6.52830E-013
0.999,-6.52600E-013
1,-6.52360E-013
1.001,-6.52130E-013
1.002,-6.51890E-013
1.003,-6.51650E-013
1.004,-6.51420E-013
1.005,-6.51180E-013
1.006,-6.50950E-013
1.007,-6.50710E-013
1.008,-6.50480E-013
1.009,-6.50240E-013
1.01,-6.50010E-013
1.011,-6.49770E-013
1.012,-6.49540E-013
1.013,-6.49310E-013
1.014,-6.49070E-013
1.015,-6.48840E-013
1.016,-6.48610E-013
1.017,-6.48370E-013
1.018,-6.48140E-013
1.019,-6.47910E-013
1.02,-6.47680E-013
1.021,-6.47450E-013
1.022,-6.47210E-013
1.023,-6.46980E-013
1.024,-6.46750E-013
1.025,-6.46520E-013
1.026,-6.46290E-013
1.027,-6.46060E-013
1.028,-6.45830E-013
1.029,-6.45600E-013
1.03,-6.45370E-013
1.031,-6.45140E-013
1.032,-6.44910E-013
1.033,-6.44680E-013
1.034,-6.44450E-013
1.035,-6.44230E-013
1.036,-6.44000E-013
1.037,-6.43770E-013
1.038,-6.43540E-013
1.039,-6.43310E-013
1.04,-6.43090E-013
1.041,-6.42860E-013
1.042,-6.42630E-013
1.043,-6.42410E-013
1.044,-6.42180E-013
1.045,-6.41950E-013
1.046,-6.41730E-013
1.047,-6.41500E-013
1.048,-6.41280E-013
1.049,-6.41050E-013
1.05,-6.40830E-013
1.051,-6.40590E-013
1.052,-6.40370E-013
1.053,-6.40150E-013
1.054,-6.39930E-013
1.055,-6.39720E-013
1.056,-6.39490E-013
1.057,-6.39270E-013
1.058,-6.39050E-013
1.059,-6.38820E-013
1.06,-6.38600E-013
1.061,-6.38380E-013
1.062,-6.38160E-013
1.063,-6.37940E-013
1.064,-6.37710E-013
1.065,-6.37490E-013
1.066,-6.37270E-013
1.067,-6.37070E-013
1.068,-6.36850E-013
1.069,-6.36630E-013
1.07,-6.36410E-013
1.071,-6.36190E-013
1.072,-6.35970E-013
1.073,-6.35750E-013
